No.,bo text,zh text
129,"གཅིག་ལ་རང་བཞིན་གསུམ་ཉིད་ནི<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ནི] F,G ན། The reading ནི is supported by the Sanskrit particle tu and KP's gloss using ནི། Moreover, ནི better fits the metrical requirements and emphasis.</i>།།<br>རིགས་མིན་དེས་ན་དེ་ཡོད་མིན།།<br>དེ་བཞིན་ཡོན་ཏན་ཡོད་མིན་ཏེ།།<br>དེ་ཡང་སོ་སོར་རྣམ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">རྣམ] D རྣམས། The reading རྣམ is confirmed by the Sanskrit प्रत्येकं and supported by KP's gloss རྣམ་པ། The plural marker ས in D appears to be a scribal error.</i>གསུམ་ཕྱིར།།",於一法有三自性 <br> 不應理故神我無 <br> 如是三德亦有非 <br> 彼亦各有三相故
130,ཡོན་ཏན་མེད་ན་སྒྲ་སོགས་ཀྱང་།།<br>ཡོད་ཉིད་ཤིན་ཏུ་རྒྱང་རིང་འགྱུར།།<br>སེམས་མེད་གོས་ལ་སོགས་པ་ལ།།<br>བདེ་སོགས་ཡོད་པ་སྲིད་པའང་མིན།།,德等無故亦甚難 <br> 說彼聲等體性有 <br> 於諸無情衣等法 <br> 說有樂等亦不然
131,"དངོས་རྣམས་དེ་རྒྱུའི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེ་རྒྱུའི་] N,Q བདེ་རྒྱུའམ་; The reading དེ་རྒྱུའི་ is supported by the Sanskrit तद्धेतु and commentary KP: དེ་ཡི་རྒྱུའི་</i>རང་བཞིན་ན།།<br>དངོས་པོ་རྣམ་དཔྱད་མ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">དཔྱད་མ་ཟིན་] C,N,Q དཔྱད་ཟིན་མིན་; The reading དཔྱད་མ་ཟིན་ is supported by Sanskrit विचारिताः and commentary KS: རྣམ་པར་དཔྱད་ཟིན་</i>ཟིན་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འབྱུང་བའང་] N,Q འབྱུང་བ་; The reading འབྱུང་བའང་ is supported by Sanskrit न च तस्मात् and commentary KP: འབྱུང་བའང་</i>ནམ།།<br>ཁྱོད་ཀྱི་རྒྱུ་ཡང་བདེ་སོགས་ཉིད།།<br>དེ་ལས་སྣམ་སོགས་འབྱུང་བའང་མེད།།",若諸法為彼因性 <br> 諸法豈非已觀竟 <br> 汝之因亦樂等性 <br> 衣等亦非神我生
132,སྣམ་སོགས་ལས་ནི་བདེ་སོགས་ཡིན།།<br>དེ་མེད་ཕྱིར་ན་བདེ་སོགས་མེད།།<br>བདེ་སོགས་རྟག་པ་ཉིད་དུ་ཡང་།།<br>ནམ་ཡང་དམིགས་པ་ཡོད་མ་ཡིན།།,若從衣等生樂等 <br> 衣等無時樂等無 <br>若謂樂等是常性 <br> 終不應為所緣境
133,བདེ་སོགས་གསལ་བ་ཡོད་ཉིད་ན།།<br>མྱོང་བ་ཅི་ཕྱིར་འཛིན་མ་ཡིན།།<br>དེ་ཉིད་ཕྲ་མོར་གྱུར་ན་དེ།།<br>རགས་དང་ཕྲ་བའང་ཇི་ལྟར་ཡིན།།,若有實法顯樂等 <br> 受時何故不取相 <br> 若謂樂性轉微細 <br> 粗細苦樂云何分
134,"རགས་པ་དོར་ནས་ཕྲ་གྱུར་པས<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཕྲ་གྱུར་པས་] C འགྱུར་བས་། The reading གྱུར་པས་ is preferred based on the Sanskrit भवेत् and supported by KP's འགྱུར་ along with GDR's commentary. While C's འགྱུར་བས་ gives similar meaning, གྱུར་པས་ better reflects the Sanskrit aorist form and maintains the metrical structure.</i>།།<br>ཕྲ་རགས་དེ་དག་མི་རྟག་ཉིད།།<br>དེ་བཞིན་དངོས་པོ་ཐམས་ཅད་ནི།།<br>མི་རྟག་ཉིད་དུ་ཅིས་མི་འདོད།།",若謂捨粗故成細 <br> 彼粗細等性無常 <br> 如是云何不應許 <br> 一切諸法無常性
135,"རགས་པ་བདེ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདེ་] N,Q བདེན་ ། The reading བདེ་ is confirmed by Sanskrit सुख and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> discussing བདེ་བ།</i>ལས་གཞན་མིན་ན།།<br>བདེ་བ་གསལ་བ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བ་] N,Q བར་ ། The reading བ་ is supported by Sanskrit स्फुट and commentaries using གསལ་བ།</i>མི་རྟག་ཉིད།།<br>གལ་ཏེ་མེད་པ་འགའ་ཡང་ནི།།<br>སྐྱེ་མིན་མེད་ཕྱིར་ཞེས་འདོད་ན།།<br>གསལ་བ་མེད་པ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">པ་] C,N,Q པར་ ། The reading པ་ better matches Sanskrit असत् and commentary discussion of མེད་པ།</i>སྐྱེ་བར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བར་] N,Q བ་ ། The reading བར་ is confirmed by Sanskrit उत्पत्ति and commentaries using སྐྱེ་བར།</i>ནི།།<br>ཁྱོད་མི་འདོད་ཀྱང་གནས་པ་ཉིད།།",若粗從樂出非餘 <br> 樂顯明是無常性 <br>若計因時所無法 <br> 果悉不生本無故 <br> 顯明本無今始生 <br> 雖非汝許性安住
136,གལ་ཏེ་རྒྱུ་ལ་འབྲས་གནས་ན།།<br>ཟན་ཟ་མི་གཙང་ཟ་བར་འགྱུར།།<br>རས་ཀྱི་རིན་གྱིས་རས་བལ་གྱི།།<br>ས་བོན་ཉོས་ལ་བགོ་བར་གྱིས།།,若因果性不異住 <br> 食粥當成食不淨 <br> 亦復當以棉衣價 <br> 貿棉種子覆其身
137,"འཇིག་རྟེན་རྨོངས་པས་མ་མཐོང་ན།།<br>དེ་ཉིད་ཤེས་ཀྱིས་བཞག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཤེས་ཀྱིས་བཞག་] N,Q ཤེས་ཀྱིའང་གཞག་; C ཤེས་ཀྱིས་གཞག་། The reading བཞག་ is supported by the Sanskrit स्थितिः and all commentaries. KP uses བཞག་ in his commentary <span class=\""text-quotation-style\"">གྲངས་ཅན་པའི་སྟོན་པ་རྣམས་ཀྱིས་བཞག་པ</span>. GDR also consistently uses བཞག་. The particle ཀྱིས་ matches the Sanskrit instrumental construction better than ཀྱིའང་. The variant གཞག་ in C,N,Q appears to be a standardized spelling but བཞག་ represents the more classical orthography.</i>དེ་ཉིད།།",若世愚夫不達此 <br> 汝師見因果同時
138,"ཤེས་དེ་འཇིག་རྟེན་ལ་ཡང་ནི།།<br>ཡོད་པས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཡོད་པས་] «C» ཡོད་པ་</i>ཅི་སྟེ་མཐོང་མ་ཡིན།།<br>འཇིག་རྟེན་ཚད་མ་ཉིད་མིན་ན།།<br>གསལ་བ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གསལ་བ་] «N,Q» གསལ་</i>མཐོང་བའང་བདེན་མ་ཡིན།།",彼所安立汝亦知 <br> 云何世人不違此 <br> 若世所見非量性 <br> 世見顯現亦非實
139,"གལ་ཏེ་ཚད་མ་ཚད་མིན་ན།།<br>དེས་གཞལ་རྫུན་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རྫུན་] C,F,G,I བརྫུན་ ། Sanskrit मृषा supports རྫུན་ as the simpler form. KP and GDR both use རྫུན་.</i>པར་མི་འགྱུར་རམ།།<br>དེ་ཉིད་དུ་ན་སྟོང་པ་ཉིད།།<br>སྒོམ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སྒོམ་] N,Q བསྒོམ་ ། Sanskrit भावना supports སྒོམ་. While KP uses བསྒོམ་, the simpler form སྒོམ་ is preferred as it matches the Sanskrit and maintains meter.</i>པ་དེ་ཕྱིར་མི་འཐད་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">མི་འཐད་] N,Q མཐར་ ། Sanskrit नोपपद्यते and all commentaries support མི་འཐད་. KP, GDR and TS all use མི་འཐད་.</i>འགྱུར།།",若彼量非勝義量 <br> 彼所量豈非虛妄 <br> 以是為因汝所修 <br> 空性亦妄量妄故
140,"བརྟགས་པའི་དངོས་ལ་མ་རེག་པར།།<br>དེ་ཡི་དངོས་མེད་འཛིན་མ་ཡིན།།<br>དེ་ཕྱིར་རྫུན་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རྫུན་] C,F,G,I བརྫུན། Main reading རྫུན་ chosen based on Sanskrit मृषा and majority of commentaries <span class=\""text-quotation-style\"">KP, GDR, KS</span> using རྫུན་. The shorter form better matches the meter.</i>པའི་དངོས་གང་ཡིན།།<br>དེ་ཡི་དངོས་མེད་གསལ་བར་རྫུན<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">རྫུན་] C,F,G,I བརྫུན། Main reading རྫུན་ chosen to maintain consistency with previous occurrence and Sanskrit मृषा in final pāda.</i>།།",於彼實相不能觸 <br> 空法無實非所取 <br> 是故任何虛妄法 <br> 顯彼非實亦虛妄
141,"དེས་ན་རྨི་ལམ་བུ་ཤི་ལ།།<br>དེ་མེད་སྙམ་པའི་རྣམ་རྟོག་ནི།།<br>དེ་ཡོད་རྣམ་པར་རྟོག་པ་ཡི།།<br>གེགས་ཡིན་དེ་ཡང་བརྫུན་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བརྫུན་] C,F,G,I རྫུན་ D,H,K,L,N,P - བརྫུན་ chosen based on Sanskrit मृषा and supported by commentaries TS and KP who use བརྫུན་. The form བརྫུན་ is also more common in classical literature for expressing 'false/deceptive'.</i>པ་ཡིན།།",如於夢中見子死 <br> 思彼事無之分別 <br> 能遮分別彼事有 <br> 彼能遮亦是虛妄
142,"དེ་བས་དེ་ལྟར་རྣམ་དཔྱད་པས།།<br>འགའ་ཡང་རྒྱུ་མེད་ཡོད་མ་ཡིན།།<br>སོ་སོ་བའམ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རྣམ་དཔྱད་] KP རྣམ་དཔྱོད་ | Reading དཔྱད་ follows Sanskrit विचारेण and is supported by majority of witnesses including GDR, KS, and TS.</i>འདུས་པ་ཡི།།<br>རྐྱེན་རྣམས་ལ་ཡང་གནས་མ་ཡིན།།",故依是理以觀察 <br> 絕無無因而有者 <br>若別別住若總集 <br> 諸緣悉非彼依處
143,གཞན་ནས་འོངས་པའང་མ་ཡིན་ལ།།<br>གནས་པ་མ་ཡིན་འགྲོ་མ་ཡིན།།<br>རྨོངས་པས་བདེན་པར་གང་བྱས་འདི།།<br>སྒྱུ་མ་ལས་ནི་ཁྱད་ཅི་ཡོད།།,彼既不從餘處來 <br> 於此不住不他往 <br>愚迷執此以為實 <br> 別與幻化有何別
144,"སྒྱུ་མས་སྤྲུལ་པ་གང་ཡིན་དང་།།<br>རྒྱུ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྒྱུ་] N,Q རྒྱུ། Sanskrit མायया and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> support སྒྱུ་ reading with specific reference to illusions <span class=\""text-quotation-style\"">སྒྱུ་མ་</span>.</i>རྣམས་ཀྱིས་ནི་གང་སྤྲུལ་པ།།<br>དེ་ནི་གང་ནས་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ནས་] N,Q ལས་། Sanskrit कुतः and commentaries support ནས་ reading.</i>འོངས་གྱུར་ཅིང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཅིང་] N,Q ཅིག། Sanskrit च supports ཅིང་ as conjunction; all commentaries use ཅིང་.</i>།།<br>གང་དུ་འགྲོ་བའང་བརྟག་པར་གྱིས།།",凡幻師所幻化物 <br> 依諸因緣何所化 <br> 彼生從何處來此 <br> 彼滅何往當觀察
145,"གང་ཞིག་གང་ནི་ཉེ་བ་ཡིས།།<br>མཐོང་འགྱུར་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མཐོང་འགྱུར་] C,N,Q མཐོང་གྱུར། Sanskrit दृष्टं and commentaries <span class=\""text-quotation-style\"">KP: མཐོང་བར་འགྱུར་, GDR: མཐོང་བར་འགྱུར་</span> support འགྱུར་</i>དེ་མེད་ན་མིན་པ།།<br>བཅོས་བུ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བཅོས་བུ་] C,N,Q བཅོས་སུ། Sanskrit कृत्रिमे and commentaries <span class=\""text-quotation-style\"">KP: བཅོས་བུ་, GDR: བཅོས་བུ་</span> support བུ་</i>གཟུགས་བརྙན་དང་མཚུངས་པ<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">མཚུངས་པ་] F,G མཚུངསཾ་པ། N,Q མཚུངས་པས། Sanskrit प्रतिबिम्बसमे supports མཚུངས་པ་</i>།།<br>དེ་ལ་བདེན་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བདེན་ཉིད་] F,G ལ་བདེན་ཉིད། Sanskrit सत्यता supports shorter reading བདེན་ཉིད་</i>ཉིད་ཇི་ལྟར་ཡོད<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཡོད་] N,Q ཡིན། Sanskrit कथम् supports ཡོད་</i>།།",依無明等有行等 <br> 彼因無故說無生 <br> 造作有故如影像 <br> 此中有何諦實性
146,དངོས་པོ་ཡོད་པར་གྱུར་པ་ལ།།<br>རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད།།<br>འོན་ཏེ་དེ་ནི་མེད་ན་ཡང་།།<br>རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད།།,若時諸法自性有 <br> 何須復待因始生 <br> 若時彼法自性無 <br> 彼復何須待因生
147,བྱེ་བ་བརྒྱ་ཕྲག་རྒྱུ་ཡིས་ཀྱང་།།<br>དངོས་པོ་མེད་པ་བསྒྱུར་དུ་མེད།།<br>གནས་སྐབས་དེ་དངོས་ཇི་ལྟར་ཡིན།།<br>དངོས་འགྱུར་གཞན་ཡང་གང་ཞིག་ཡིན།།,縱以百千俱胝因 <br> 不能轉變無實理 <br> 無實時何能有實 <br> 能生實有別無因
148,"མེད་ཚེ་དངོས་ཡོད་སྲིད་མིན་ན།།<br>དངོས་པོ་ཡོད་པར་ནམ་ཞིག་འགྱུར།།<br>དངོས་པོ་སྐྱེས་པར་མ་གྱུར་པར།།<br>དངོས་མེད་དེ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེ་དང་] C,N,Q དང་ : Reading དེ་དང་ is supported by the Sanskrit सः <span class=\""text-quotation-style\"">\""that\""</span> and better reflects the logical structure seen in KP's and GDR's commentaries where the demonstrative pronoun refers back to the previously mentioned དངོས་མེད།</i>དང་ནི་འབྲལ་མི་འགྱུར།།",無時不應成實有 <br> 云何能生彼法故 <br> 若時彼法未生起 <br> 則於無實未能離
149,"དངོས་མེད་དང་ནི་མ་བྲལ་ན<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མ་བྲལ་ན] N,Q ནའང་། Base reading མ་བྲལ་ན supported by Sanskrit anapa-gate <span class=\""text-quotation-style\"">न...अपगत</span> and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span>. The variant ནའང་ appears to be a later modification that doesn't match the Sanskrit compound structure.</i>།།<br>དངོས་པོ་ཡོད་པའི་སྐབས་མི་སྲིད།།<br>དངོས་པོའང་མེད་པར་འགྱུར་མིན་ཏེ།།<br>རང་བཞིན་གཉིས་སུ་ཐལ་འགྱུར་ཕྱིར།།",若時未離無實位 <br> 則不能成彼法有 <br> 有實亦不能成無 <br> 彼自性應成二故
150,"དེ་ལྟར་འགག་པ་ཡོད་མིན་ཞིང་།།<br>དངོས་པོའང་ཡོད་མིན་དེ་ཡི་ཕྱིར།།<br>འགྲོ་བ་འདི་དག་ཐམས་ཅད་ནི།།<br>རྟག་ཏུ་མ་སྐྱེས་མ་འགགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མ་འགགས་] C མ་འགག། The reading མ་འགགས་ is preferred as it better corresponds to the Sanskrit अनिरुद्धं. This is also supported by the commentaries of KP <span class=\""text-quotation-style\"">མ་འགག་པ་ཉིད་</span>, KS <span class=\""text-quotation-style\"">མ་འགག་པ་ཉིད་</span>, and TS <span class=\""text-quotation-style\"">མ་འགགས་པ་</span>. The reading in C appears to be a scribal error.</i>ཉིད།།",如無生理亦無滅 <br> 彼法亦非實有故 <br> 是故此一切眾生 <br> 恒時無生亦無滅
151,"འགྲོ་བ་རྨི་ལམ་ལྟ་བུ་སྟེ།།<br>རྣམ་པར་དཔྱད་ན་ཆུ་ཤིང་འདྲ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཆུ་ཤིང་འདྲ་] N,Q ཆུ་ཤིང་བཞིན་དུ་སྙིང་པོ་མེད། Main reading supported by Skt. कदलीसमाः and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which gloss འདྲ།</i>།།<br>མྱ་ངན་འདས་དང་མ་འདས་པའང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">པའང་] N པ་ལའང་། Main reading supported by Skt. च and commentary tradition</i>།།<br>དེ་ཉིད་དུ་ནི་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">དུ་ནི་] C,F,G དུ་ན། Main reading supported by Skt. वस्तुतः and KP's gloss དུ་ནི་</i>ཁྱད་པར་མེད།།",眾生猶如夢幻境 <br> 若加觀察如芭蕉 <br> 若涅槃若不涅槃 <br> 於此性中無差別
152,"དེ་ལྟར་སྟོང་པའི་དངོས་རྣམས་ལ།།<br>ཐོབ་པ་ཅི་ཡོད་ཤོར་ཅི་ཡོད།།<br>གང་གིས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གང་གིས་] N,Q གང་གི། The reading གང་གིས་ is supported by the Sanskrit instrumental केन and all commentaries <span class=\""text-quotation-style\"">KP, KS, GDR, TS</span> which consistently interpret this as an agentive case <span class=\""text-quotation-style\"">གང་གིས་</span>. The instrumental case in Sanskrit केन <span class=\""text-quotation-style\"">'by whom'</span> requires the agentive གང་གིས་ in Tibetan rather than the genitive གང་གི་.</i>རིམ་གྲོ་བྱས་པའམ།།<br>ཡོངས་སུ་བརྙས་པའང་ཅི་ཞིག་ཡོད།།",於如是空諸法中 <br> 有何可得有何失 <br> 誰為敬事誰毀辱 <br> 二者於我何所有
153,"བདེ་བའང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདེ་བའང་] C བདེ་བའམ་། The reading བདེ་བའང་ is preferred as it better corresponds to the Sanskrit construction वा <span class=\""text-quotation-style\"">va</span> in कुतः सुखं वा <span class=\""text-quotation-style\"">kutaḥ sukhaṃ vā</span>. This is further supported by KP's commentary which uses the particle འང་ in the explanation བདེ་བ་མྱོང་བའམ་སྡུག་བསྔལ་མྱོང་བའང་.</i>སྡུག་བསྔལ་གང་ལས་ཡིན།།<br>མི་དགར་ཅི་ཡོད་དགར་ཅི་ཡོད།།<br>དེ་ཉིད་དུ་ནི་བཙལ་བྱས་ན།།<br>གང་ཞིག་སྲེད་ཅིང་གང་ལ་སྲེད།།",或由於苦或由樂 <br> 不樂何有樂何有 <br> 若於此理尋求已 <br> 誰為貪者何所貪
154,"དཔྱད་ན་གསོན་པོའི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གསོན་པོའི་] C,N,Q གསོན་པའི་; གསོན་པོའི་ chosen based on Skt. जीव and majority of commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span></i>འཇིག་རྟེན་འདི།།<br>གང་ཞིག་འདིར་ནི་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འདིར་ནི་] N,Q འདི་ན་; འདིར་ནི་ supported by Skt. अत्र and commentaries <span class=\""text-quotation-style\"">KP,GDR</span></i>འཆི་འགྱུར་ཏེ།།<br>འབྱུང་འགྱུར་གང་ཡིན་བྱུང་གྱུར་གང་།།<br>གཉེན་དང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གཉེན་དང་] N,Q གང་དང་; གཉེན་དང་ confirmed by Skt. बन्धु and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span></i>བཤེས་ཀྱང་གང་ཞིག་ཡིན།།",觀已現生於世間 <br> 誰人從於此處死 <br> 誰人復往彼處生 <br> 誰為所親誰所愛
155,"ཐམས་ཅད་ནམ་མཁའ་འདྲ་བར་ནི།།<br>བདག་འདྲས་ཡོངས་སུ་བཟུང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བཟུང་] C གཟུང་. The reading བཟུང་ is supported by the Sanskrit परिगृह्णन्तु and most commentaries. KP, GDR, and TS all use བཟུང་. Additionally, the transitive nature of the verb in this context requires བཟུང་ rather than གཟུང་.</i>བར་གྱིས།།<br>བདག་ཉིད་བདེ་བར་འདོད་རྣམས་ནི།།<br>འཐབ་དང་སྤྲོ་བའི་རྒྱུ་དག་གིས།།",一切悉皆如虛空 <br> 願如我者咸受持 <br>諸求自身安樂者 <br> 由諸憤爭歡愛因
156,"རབ་ཏུ་འཁྲུག་དང་དགའ་བར་བྱེད།།<br>མྱ་ངན་འབད་རྩོལ་རྩོད་པ་དང་།།<br>ཕན་ཚུན་གཅོད་དང་འབིགས་པ་དང་།།<br>སྡིག་དག་གིས་ནི་ཚེགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཚེགས་] F,G,N,Q ཚོགས་; I ཚིགས་. The reading ཚེགས་ is confirmed by Skt. kṛcchra <span class=\""text-quotation-style\"">सुकृच्छ्रेण</span> and supported by all commentaries. KP and GDR explicitly gloss it as དཀའ་བ་ཆེན་པོ་ <span class=\""text-quotation-style\"">'great difficulty'</span>. Both alternative readings ཚོགས་ <span class=\""text-quotation-style\"">'accumulation'</span> and ཚིགས་ <span class=\""text-quotation-style\"">'joint'</span> are likely scribal errors due to graphical similarity.</i>ཆེན་འཚོ།།",或極躁擾或歡喜 <br> 憂惱勤劬起鬥爭 <br> 互相斬殺或斫刺 <br> 由是諸罪受大苦
157,"བདེ་འགྲོར་ཡང་དང་ཡང་འོངས་ཏེ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">འོངས་ཏེ] C དེ། The reading འོངས་ཏེ is supported by the Sanskrit आगत्यागत्य and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> which consistently use འོངས་/འོང་.</i>།།<br>བདེ་བ་མང་པོ་སྤྱད་སྤྱད་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སྤྱད་སྤྱད] I སྤྱོད་། The reading སྤྱད་སྤྱད་ is confirmed by Sanskrit भूत्वा भूत्वा and commentaries <span class=\""text-quotation-style\"">KP: སྤྱད་སྤྱད་, GDR: སྤྱད་སྤྱད་</span> showing past tense repetition.</i>ནས།།<br>ཤི་ནས་ངན་སོང་སྡུག་བསྔལ་ནི།།<br>ཡུན་རིང་མི་བཟད་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">མི་བཟད] N,Q ཟད། The reading མི་བཟད་ is supported by Sanskrit तीव्र and the commentaries <span class=\""text-quotation-style\"">GDR: མི་བཟད་པ་, KS: མི་བཟད་པ་</span> indicating intensity of suffering.</i>རྣམས་སུ་ལྟུང་།།",數數來生善趣中 <br> 受用眾多妙樂竟 <br> 死已還墮諸惡趣 <br> 難堪眾苦常相逼
158,"སྲིད་པ་ན་ནི་གཡང་ས་མང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གཡང་ས་] «N,Q» གཡངས་ས། Sanskrit बहुप्रपात supports གཡང་ས་. KP's gloss སྡུག་བསྔལ་ཆེན་པོ་འབྱུང་བའི་གཡང་ས་ confirms reading.</i>།།<br>དེར་ནི་དེ་ཉིད་མིན་འདི་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འདི་] «N,Q» འདྲི། Sanskrit ईदृश supports འདི་. All commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> read འདི་.</i>འདྲ།།<br>དེར་ཡང་ཕན་ཚུན་འགལ་བས་ན།།<br>སྲིད་ན་དེ་ཉིད་འདི་འདྲ་མེད།།",三有之中險難多 <br> 愚癡繫縛恒如是 <br> 無明解脫互相違 <br> 實執鎖鐐困生死
159,"དེར་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེ་] C,N,Q དེར་ ; དེར་ adopted based on Sanskrit तत्र and supported by all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span></i>ཡང་དཔེ་མེད་མི་བཟད་པའི།།<br>སྡུག་བསྔལ་རྒྱ་མཚོ་མཐའ་ལས་འདས།།<br>དེར་ནི་དེ་ལྟར་སྟོབས་ཆུང་ཞིང་།།<br>དེར་ནི་ཚེ་ཡང་ཐུང་བ་ཉིད།།",此中難忍難比喻 <br> 三有大海苦無邊 <br>作善無力極微劣 <br> 暇滿所依難保信
160,"དེར་ཡང་གསོན་དང་ནད་མེད་ཀྱི།།<br>བྱེད་དང་བཀྲེས་པའི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བཀྲེས་པའི་] C བཀྲེས་ནའི་, N,Q བཀྲེས་པའི་; Sanskrit क्षुत् supports པའི་. Also supported by KP: བཀྲེས་ཤིང་</i>ངལ་བ་དང་།།<br>གཉིད་དང་འཚེ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འཚེ་] N,Q འཚོ་; Sanskrit उपद्रव supports འཚེ་. Confirmed by KP: ཉེར་འཚེ་ and GDR: འཚེ་བ་</i>དང་དེ་བཞིན་དུ།།<br>བྱིས་དང་འགྲོགས་པ་དོན་མེད་ཀྱིས<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">མེད་] F,G མེད་ཀྱིས་; Sanskrit निष्फल and all commentaries support མེད་</i>།།",衣食活命醫藥緣 <br> 營擾饑軀常疲困 <br> 睡眠逼惱恒相隨 <br> 更狎愚迷作無義
161,"ཚེ་ནི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཚེ་ནི་འདི་] N,Q; ཚེ་ནི་ D,C. The reading without འདི་ is preferred as it matches the Sanskrit <span class=\""text-quotation-style\"">āyur</span> and is supported by all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which gloss ཚེ་ without འདི་.</i>དོན་མེད་མྱུར་འདའ་ཡི<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">འདའ་ཡི་] D,C; འདའ་ཞིང་ N,Q. The reading ཡི་ better corresponds to Sanskrit āśu and is supported by KP's gloss འདའ་ཡི་.</i>།།<br>རྣམ་དཔྱོད་ཤིན་ཏུ་རྙེད་པར་དཀའ།།<br>དེར་ཡང་རྣམ་གཡེང་གོམས་པ་ནི<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ནི་] D,C; འདི་ N,Q. The reading ནི་ is preferred as it matches the Sanskrit construction <span class=\""text-quotation-style\"">tatra api</span> and is supported by the commentaries' syntax.</i>།།<br>བཟློག་པའི་ཐབས་ནི་ག་ལ་ཡོད།།",此生無義速消逝 <br> 如是觀修極難得 <br> 此中複習為散亂 <br> 遮彼之道何由得
